! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
CH3COCH3(56)       2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3COCH3)	
C4H2(57)           1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H2)	
nC4H3(58)          2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: nC4H3)	 //! JAM
iC4H3(59)          2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H3)	 //! JAM
C4H4(60)           2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H4)	 //! JAM
nC4H5(61)          2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: nC4H5)	 //! JAM
iC4H5(62)          2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H5)	 //! JAM
C4H5-2(63)         2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H5-2)	 //!
c-C4H5(64)         2   329.000     5.100     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: c-C4H5)	
C4H6(65)           2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H6)	
C4H612(66)         2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H612)	
C4H6-2(67)         2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H6-2)	
C4H7(68)           2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H7)	
iC4H7(69)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H7)	
C4H81(70)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H81)	
C4H82(71)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H82)	
iC4H8(72)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H8)	
pC4H9(73)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: pC4H9)	
sC4H9(74)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: sC4H9)	
iC4H9(75)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H9)	
tC4H9(76)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: tC4H9)	
C4H10(77)          2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H10)	
iC4H10(78)         2   357.000     5.176     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: iC4H10)	
H2C4O(79)          2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: H2C4O)	 //! JAM
C4H4O(80)          1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H4O)	
CH2CHCHCHO(81)     1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH2CHCHCHO)	
CH3CHCHCO(82)      1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CHCHCO)	
C2H3CHOCH2(83)     1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C2H3CHOCH2)	
C4H6O23(84)        1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H6O23)	
CH3CHCHCHO(85)     1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: CH3CHCHCHO)	
C4H6O25(86)        1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C4H6O25)	
C5H4O(87)          2   464.800     5.290     0.000    10.320     0.000 ! Primary Transport Library: USCII (Species ID: C5H4O)	 //! benze
C5H5O(88)          2   494.000     5.200     1.600     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C5H5O(1,3))	
C5H5O(89)          2   494.000     5.200     1.600     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C5H5O(2,4))	
C5H4OH(90)         2   464.800     5.290     0.000    10.320     0.000 ! Primary Transport Library: USCII (Species ID: C5H4OH)	 //! benze
C5H5OH(91)         2   464.800     5.290     0.000    10.320     0.000 ! Primary Transport Library: USCII (Species ID: C5H5OH)	 //! as C5H4OH, ZD99
C5H5(92)           1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C5H5)	
C5H6(93)           1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C5H6)	
