!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!                      The oxidation of the novel lignocellulosic biofuel gamma-valerolactone in a low pressure flame                                     !!
!!        Alena Sudholt(a), Rupali Tripathi(a), Daniel Mayer(a), Pierre-Alexandre Glaude(b), Frederique Battin-Leclerc(b), Heinz Pitsch(a)                 !!
!!																																						   !!
!!					(a) Institute for Combustion Technology, Templergraben 64, RWTH Aachen University, 52056 Aachen, Germany							   !!
!!					(b) Laboratoire Reaction et Genie des Procedes, CNRS, Universite de Lorraine, 1 Rue Grandville, 54001 Nancy Cedex, France			   !!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!
#SPECNAME      DUMMY     EPS/K     SIGMA     DUMMY     DUMMY     DUMMY
C4H8OH-1O2           0   552.735     5.734     0.000     0.000     0.000
S-C4H8OH           0   447.788     5.087     0.000     0.000     0.000
C4H8OH-2O2           0   552.735     5.734     0.000     0.000     0.000
C4H8OOH1-2           0   502.252     5.430     0.000     0.000     0.000
C4H8OOH1-3           0   502.252     5.430     0.000     0.000     0.000
P-C4H9O2           0   502.252     5.430     0.000     0.000     0.000
P-C4H9O2H           0   505.540     5.450     0.000     0.000     0.000
NC4KET13           0   549.655     5.716     0.000     0.000     0.000
C4H8OOH1-3O2           0   600.078     6.009     0.000     0.000     0.000
C5H81-3            0   429.770     4.969     0.000     0.000     0.000
C5H81-4            0   429.770     4.969     0.000     0.000     0.000
C5H91-3            0   433.447     4.993     0.000     0.000     0.000
C5H9O1-3           0   489.084     5.348     0.000     0.000     0.000
C5H10-2            0   437.102     5.017     0.000     0.000     0.000
C5H91-4            0   433.447     4.993     0.000     0.000     0.000
C5H10-1            0   437.102     5.017     0.000     0.000     0.000
C5H91-5            0   433.447     4.993     0.000     0.000     0.000
C5H92-4            0   433.447     4.993     0.000     0.000     0.000
C5H92-5            0   433.447     4.993     0.000     0.000     0.000
C6H12-2            0   485.857     5.328     0.000     0.000     0.000
