thermo all
   300.000  1000.000  5000.000
C9H20             thgen C   9H  20          G   200.00   5000.00  1000.00      1
 5.08711704E+00 2.11737839E-02-8.47829954E-06 1.55360557E-09-1.06826143E-13    2
 8.98655992E+03-1.26926008E+00 6.59168754E+00-1.39393879E-02 1.01459918E-04    3
-1.23078625E-07 4.81957882E-11 9.89003761E+03-2.04997854E+00                   4
C6H13a            thgen C   6H  13          G   200.00   5000.00  1000.00      1
 1.11886267E+01 3.98365254E-02-1.59670011E-05 2.93179879E-09-2.02031545E-13    2
-1.62954992E+03-2.84097687E+01 1.14790837E+00 5.88134202E-02-1.83346897E-05    3
-1.03788518E-08 6.54013118E-12 1.69118064E+03 2.59073486E+01                   4
nC4H9             thgen C   4H   9          G   200.00   5000.00  1000.00      1
 7.07717433E+00 2.74563715E-02-1.10045718E-05 2.01921371E-09-1.39024346E-13    2
 5.47024559E+03-1.00593101E+01 4.03087207E+00 1.59363275E-02 4.68703813E-05    3
-6.96602617E-08 2.82318443E-11 7.23061397E+03 1.03668092E+01                   4
C5H11a            thgen C   5H  11          G   200.00   5000.00  1000.00      1
 9.12493048E+00 3.36573595E-02-1.34909086E-05 2.47653071E-09-1.70602168E-13    2
 1.92454767E+03-1.91880973E+01 2.45503730E+00 3.83859478E-02 1.16364448E-05    3
-3.71751873E-08 1.62950674E-11 4.47415785E+03 1.86944495E+01                   4
C9H19OOa          thgen C   9H  19O   2     G   200.00   5000.00  1000.00      1
 1.98092453E+01 6.27083794E-02-2.54347530E-05 4.70267314E-09-3.25422624E-13    2
-2.97530975E+04-6.40056657E+01 1.82711404E+01-1.97950553E-02 2.72800776E-04    3
-3.51431185E-07 1.41614447E-10-2.57296274E+04-3.67688245E+01                   4
C9H19Oa           thgen C   9H  19O   1     G   200.00   5000.00  1000.00      1
 1.86093306E+01 6.06911840E-02-2.44591335E-05 4.50682166E-09-3.11287800E-13    2
-2.93732795E+04-6.10389759E+01 3.25910717E+00 8.06365505E-02 6.95229009E-06    3
-6.05775598E-08 2.87665270E-11-2.40106814E+04 2.37708731E+01                   4
C3H6              thgen C   3H   6          G   200.00   5000.00  1000.00      1
 4.63600865E+00 1.90138137E-02-7.57704080E-06 1.38516933E-09-9.51358793E-14    2
-2.90105941E+02-7.01368276E-01 2.14432405E+00 1.60208205E-02 1.71512587E-05    3
-3.03682380E-08 1.24146498E-11 8.91703470E+02 1.45964453E+01                   4
C9H19OOb          thgen C   9H  19O   2     G   200.00   5000.00  1000.00      1
 2.06823627E+01 6.17344215E-02-2.50085569E-05 4.61991017E-09-3.19501290E-13    2
-3.22152266E+04-6.98258900E+01 1.76906302E+01-1.57435342E-02 2.68300310E-04    3
-3.51177845E-07 1.42639075E-10-2.78964150E+04-3.54766035E+01                   4
C9H19Ob           thgen C   9H  19O   1     G   200.00   5000.00  1000.00      1
 1.98769990E+01 5.89255797E-02-2.36233472E-05 4.33919781E-09-2.99127094E-13    2
-3.19437375E+04-6.89514328E+01-3.03448242E-01 1.07282566E-01-5.68781303E-05    3
 4.58508287E-09 4.53323183E-12-2.58847988E+04 3.74305120E+01                   4
C8H16a            thgen C   8H  16          G   200.00   5000.00  1000.00      1
 1.50554297E+01 4.99327100E-02-1.99910139E-05 3.66980592E-09-2.52921745E-13    2
-1.80598182E+04-4.73333170E+01-2.90366058E+00 1.03207736E-01-8.76230789E-05    3
 5.09165425E-08-1.51835289E-11-1.30197819E+04 4.52484300E+01                   4
n1C4H8            thgen C   4H   8          G   200.00   5000.00  1000.00      1
 6.78040955E+00 2.52362110E-02-1.00944268E-05 1.85012036E-09-1.27298594E-13    2
-3.83065844E+03-1.03154956E+01 1.61825479E+00 2.67960419E-02 1.84952602E-05    3
-4.13871429E-08 1.81226014E-11-1.81897903E+03 1.93386778E+01                   4
C9H19OOc          thgen C   9H  19O   2     G   200.00   5000.00  1000.00      1
 2.06823627E+01 6.17344215E-02-2.50085569E-05 4.61991017E-09-3.19501290E-13    2
-3.22152266E+04-6.98258900E+01 1.76906302E+01-1.57435342E-02 2.68300310E-04    3
-3.51177845E-07 1.42639075E-10-2.78964150E+04-3.54766035E+01                   4
C9H19Oc           thgen C   9H  19O   1     G   200.00   5000.00  1000.00      1
