C3H6OOH1-3       2 4.815000E+02 4.997000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H6OOH2-1       2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H6OOH1-2O2     2 5.496550E+02 5.716000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H6OOH1-3O2     2 5.496550E+02 5.716000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H6OOH2-1O2     2 5.496550E+02 5.716000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3KET12          2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
C3KET13          2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
C3H51-2,3OOH     2 5.496550E+02 5.716000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H5O1-2OOH-3    2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
C3H6O1-2         2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H6O1-3         2 4.595000E+02 5.036000E+00 1.700000E+00 0.000000E+00 1.000000E+00
C3H5-SOOH        2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
SC3H5OO          2 9.315170E+02 5.960000E+00 0.000000E+00 0.000000E+00 0.000000E+00
TC3H5OO          2 9.315170E+02 5.960000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH3COCHO         2 9.208030E+02 6.250000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2CHOCHO        2 9.208030E+02 6.250000E+00 0.000000E+00 0.000000E+00 0.000000E+00
OCHCH2CH2O       2 8.398000E+02 5.840000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CH2CHOCO         2 4.352000E+02 4.662000E+00 2.700000E+00 0.000000E+00 1.000000E+00
C3H52-1,3OOH     2 5.496550E+02 5.716000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H8             2 3.034000E+02 4.810000E+00 0.000000E+00 0.000000E+00 1.000000E+00
IC3H7            2 3.034000E+02 4.810000E+00 0.000000E+00 0.000000E+00 1.000000E+00
NC3H7            2 3.034000E+02 4.810000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3CHCHO         2 4.173000E+02 4.800000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH3CHCO          2 3.197170E+02 4.854000E+00 0.000000E+00 6.100000E+00 1.000000E+00
C3H5O            2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CH2CHOCH2        2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
AC4H7OOH         2 4.364000E+02 5.352000E+00 0.000000E+00 0.000000E+00 1.000000E+00
AC3H5OOH         2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H6             2 3.078000E+02 4.140000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H5-A           2 3.160000E+02 4.220000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H5-S           2 3.160000E+02 4.220000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H5-T           2 3.160000E+02 4.220000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CC3H6            2 3.078000E+02 4.140000E+00 0.000000E+00 0.000000E+00 1.000000E+00
PC3H4OH-1        2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
PC3H4OH-2        2 4.110000E+02 4.820000E+00 0.000000E+00 0.000000E+00 1.000000E+00
SC3H4OH          2 4.173000E+02 4.800000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H3O            2 7.495960E+02 5.140000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H4O            2 3.197170E+02 4.854000E+00 0.000000E+00 6.100000E+00 1.000000E+00
C3H3O2H          2 3.630220E+02 5.230000E+00 0.000000E+00 6.670000E+00 1.000000E+00
C2HCHO           2 4.195570E+02 4.557000E+00 0.000000E+00 0.000000E+00 1.000000E+00
